metric,mean,std,min,max
before_accuracy,0.9074980411663808,0.015902401114799597,0.8825042881646655,0.930532
after_accuracy,0.9074980411663808,0.015902401114799597,0.8825042881646655,0.930532
before_auroc,0.9740582569548968,0.019678193142957476,0.9408247986842764,0.999138
after_auroc,0.9740582569548968,0.019678193142957476,0.9408247986842764,0.999138
before_ece,0.03938071556969923,0.004844238524925396,0.033071,0.0463840089878946
after_ece,0.026742889479565872,0.008377878475865885,0.014106,0.039832226356961084
before_avg_conf_wrong,0.8063120293481008,0.01881119049714389,0.777522,0.839629
after_avg_conf_wrong,0.7786324201087952,0.021557125667253294,0.746728,0.809585
before_high_conf_errors,39.57142857142857,6.294366339755546,33.0,52.0
after_high_conf_errors,31.428571428571427,6.267831705280088,25.0,44.0
before_high_conf_error_rate,0.04119466449976217,0.00823044536599254,0.034014,0.05771365149833518
after_high_conf_error_rate,0.034520426900584794,0.008724249551492804,0.025853,0.05146198830409357
